9-Jan-20,,,,,,,,,,,,,,,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
101 Pleasant St., Concord, NH 03301-3852
Telephone (603) 271-2775
Fax (603) 271-3875

2019-2020 Nonpublic School Enrollments in New Hampshire by Grade by Town
As of October 15th, 2019
",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SchID,School Name,Town,PS,KG,RE,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,PG,SPEDEL,SPEDSEC,UGEL,UGSE,Total
,State Total,,1283,728,0,643,658,727,710,739,824,804,863,1612,1875,1941,1975,114,143,97,5,82,15823
28405,2nd Nature Academy/Nature of Things,Nashua,57,11,0,4,6,9,8,8,6,6,3,4,1,0,1,0,0,0,0,0,124
29218,Acton Academy,Laconia,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
29226,Ashuelot Valley Academy,Keene,0,0,0,0,0,0,0,3,0,1,0,2,0,0,3,0,0,0,0,0,9
20320,Bishop Brady High School,Concord,0,0,0,0,0,0,0,0,0,0,0,55,75,77,87,6,0,0,0,0,300
21880,Bishop Guertin High School,Nashua,0,0,0,0,0,0,0,0,0,0,0,194,201,190,208,0,0,0,0,0,793
22420,Brewster Academy,Wolfeboro,0,0,0,0,0,0,0,0,0,0,0,57,73,95,100,19,0,0,0,0,344
29207,Building Block Commons,Exeter,52,10,0,2,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,79
29190,Busche Academy,Chester,0,0,0,0,0,13,45,31,0,0,0,0,0,0,0,0,0,0,0,0,89
22360,Calvary Christian School,Plymouth,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3
28585,Capital Christian School,Concord,0,0,0,2,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,10
21320,Cardigan Mountain School,Canaan,0,0,0,0,0,0,0,0,21,47,84,75,0,0,0,0,0,0,0,0,227
21570,Cardinal Lacroix Academy,Manchester,12,11,0,11,19,19,13,24,20,0,0,0,0,0,0,0,0,0,0,0,129
21220,Cedarcrest School,Keene,0,1,0,1,2,0,1,1,0,3,3,1,0,1,3,0,0,0,0,0,17
29220,Chesterbrook School of Natural Learning,Chester,31,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
21870,Christian Bible Church Academy,Nashua,0,0,0,0,0,1,0,4,1,0,1,1,2,0,1,0,0,0,0,0,11
20150,Claremont Christian Academy,Claremont,13,13,0,9,7,15,12,15,16,15,11,10,15,12,13,0,0,0,0,0,176
21905,Clearway High School,Nashua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54
29212,Compass Academy,Concord,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
20290,Concord Christian Academy,Concord,11,12,0,8,12,20,10,17,21,22,18,31,36,26,19,0,0,0,0,0,263
22435,Cornerstone Christian Academy,Ossipee,9,8,0,2,6,4,1,2,7,4,2,0,0,0,0,0,0,0,0,0,45
28540,Country Village Montessori School,Amherst,5,5,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16
26885,Crossroads Academy,Lyme,0,11,0,12,9,15,18,13,15,19,14,0,0,0,0,0,0,0,0,0,126
22255,Crotched Mountain Rehab Center,Greenfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,58,0,0,79
21535,Derryfield School,Manchester,0,0,0,0,0,0,0,0,30,36,58,70,52,76,71,0,0,0,0,0,393
22235,Dublin Christian Academy,Dublin,9,5,0,7,3,11,2,3,7,8,10,6,12,5,9,0,0,0,0,0,97
22240,Dublin School,Dublin,0,0,0,0,0,0,0,0,0,0,0,30,43,54,36,0,0,0,0,0,163
28035,Easterseals Lancaster School,Lancaster ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,14
28725,Enriched Learning Center,Berlin,0,0,0,0,0,0,0,2,4,1,4,2,2,1,0,0,0,0,0,0,16
21345,Estabrook Christian School,Plainfield,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
27780,Granite Hill School,Newport,0,0,0,0,0,0,0,0,0,4,2,6,14,11,3,0,0,0,0,0,40
22610,Green Valley School,Pembroke,22,4,0,11,7,7,5,5,5,2,5,0,0,0,0,0,0,0,0,0,73
22325,Hampshire Country School,Rindge,0,0,0,0,0,2,1,3,4,2,2,3,3,0,0,0,0,0,0,0,20
22735,Hampstead Academy,Hampstead,3,5,0,0,4,4,0,1,5,2,0,0,0,0,0,0,0,0,0,0,24
29159,Hawthorne Academy,Antrim,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4
26850,Heritage Christian School,Rindge,0,6,0,6,9,5,9,4,4,7,6,0,0,0,0,0,0,0,0,0,56
28595,Heronfield Academy,Hampton Falls,0,0,0,0,0,0,0,0,26,23,30,0,0,0,0,0,0,0,0,0,79
23025,High Mowing School ,Wilton,6,43,0,9,18,13,13,11,14,12,23,28,34,40,36,0,0,0,0,0,300
28210,Hillsboro Christian School,Hillsboro,1,3,0,4,0,2,4,3,1,2,3,1,1,2,0,0,0,0,0,0,27
22340,Holderness School,Plymouth,0,0,0,0,0,0,0,0,0,0,0,59,66,76,70,8,0,0,0,0,279
28675,Hollis Montessori School,Hollis,34,16,0,14,11,15,10,5,9,6,5,0,0,0,0,0,0,0,0,0,125
27835,Holy Family Academy,Manchester,0,0,0,0,0,0,0,0,0,19,21,11,13,17,19,0,0,0,0,0,100
21280,Holy Trinity Catholic School,Laconia,17,2,0,8,6,7,6,6,1,4,3,0,0,0,0,0,0,0,0,0,60
26805,Immaculate Heart Of Mary School,Richmond,0,3,0,3,4,3,3,5,1,2,4,3,3,4,5,0,0,0,0,0,43
26880,Jesse Remington High School,Candia,0,0,0,0,0,0,0,0,0,0,0,9,11,7,9,0,0,0,0,0,36
28000,Kids Connections,Jefferson,0,0,0,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,11
21380,Kimball Union Academy,Meriden,0,0,0,0,0,0,0,0,0,0,0,46,89,101,91,5,0,0,0,0,332
21265,Laconia Christian Academy,Laconia,10,5,0,6,0,12,6,11,12,12,4,9,6,8,6,0,0,0,0,0,107
22445,Learning Skills Academy,Rye,0,0,0,0,0,0,2,6,5,2,5,11,9,5,9,2,0,0,0,0,56
22640,Lighthouse Christian Academy,Rochester,0,0,0,0,0,0,1,0,2,1,1,2,0,0,1,0,0,0,0,0,8
29217,Lupine Montessori School,Littleton,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
28520,Meeting House Montessori,Bow,25,4,0,6,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46
21175,Monadnock Waldorf School,Keene,25,10,0,8,13,5,5,11,12,9,2,0,0,0,0,0,0,0,0,0,100
22685,Monarch School of New England,Rochester,0,0,0,1,2,2,3,6,2,6,4,4,6,9,18,0,0,0,0,0,63
27030,Mount Prospect Academy,Plymouth,0,0,0,0,0,0,0,1,2,8,11,29,35,19,17,0,0,0,0,0,122
27120,Mount Royal Academy Inc.,Sunapee,15,10,0,8,15,12,14,18,12,14,17,17,10,11,19,0,0,0,0,0,192
29209,Mount Royal Academy North,Lancaster,13,7,0,4,4,9,0,2,6,0,0,0,0,0,0,0,0,0,0,0,45
27085,Mount St. Mary Academy,Manchester,29,13,0,14,11,10,11,7,9,3,3,0,0,0,0,0,0,0,0,0,110
28420,Mount Zion Christian School,Manchester,12,15,0,14,16,16,13,16,10,15,7,5,5,9,7,0,0,0,0,0,160
26450,Mountain Shadows School,Dublin,0,0,0,6,6,6,13,10,10,7,8,0,0,1,1,0,0,0,0,0,68
29204,"My School, LLC",Dover,0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
29176,Namaste Montessori School,Goffstown,7,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15
21945,Nashua Catholic Regional Jr. High,Nashua,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,110
21920,Nashua Childrens Home,Nashua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26
28690,New England Classical Academy,Claremont,0,2,0,3,2,2,4,5,4,2,9,3,4,2,2,0,0,0,0,0,44
20110,New Hampton School,New Hampton,0,0,0,0,0,0,0,0,0,0,0,56,75,98,91,16,0,0,0,0,336
